id,class,# org.tmethod,% mut.score,# new.tmethod,PR.candidates,# killed.origial,# killed.amplified,% inc.killed,# killed.aamp,% inc.killed.aamp,time,project,High/Low
1,DataFrameCsvReaderTest,4,85,0,?,17,17,0,17,0,0:00:05,DataFrame,H
2,DataFrameJsonWriterTest,4,50,1,?,6,8,33,7,16.67,0:00:09,DataFrame,H
3,DataFrameTypeDetectorTest,15,94.12,0,?,64,64,0,64,0,0:02:07,DataFrame,H
4,DataFrameJsonReaderTest,9,72.73,2,?,16,20,25,19,18.75,0:07:35,DataFrame,H
5,ZnEasyTest,10,66.67,0,?,10,10,0,10,0,0:20:52,zinc,H
6,ZnMessageBenchmarkTest,2,80,0,?,24,24,0,24,0,0:09:50,zinc,H
7,GQLSchemaGrammarTest,57,93.2,7,?,96,103,7,96,0,26:41:02,GraphQL,H
8,GQLSingleAnonimousQueryEvaluatorTest,22,52.27,2,?,23,25,9,23,0,0:19:33,GraphQL,H
9,GQLRequestGrammarTest,29,96.55,0,?,56,56,0,56,0,0:12:17,GraphQL,H
10,WebGrammarTest,14,90,2,?,18,20,11,18,0,0:52:59,petitparser2,H
11,PP2BufferStreamTest,16,83.87,0,?,78,78,0,78,0,0:00:31,petitparser2,H
12,MDLPanelSwitcherButtonTest,6,53.85,0,?,7,7,0,7,0,0:00:53,MaterialDesignLite,H
13,MDLPaginationComponentTest,11,71.19,2,?,42,46,10,42,0,0:02:56,MaterialDesignLite,H
14,RSLabelGeneratorTest,2,82.38,0,?,173,173,0,173,0,0:59:54,Roassal3,H
15,RSUMLClassBuilderTest,2,50,1,?,1,2,100,2,100,1:36:55,Roassal3,H
16,OPRTElementsConstraintTest,2,50,1,?,1,2,100,2,100,0:01:53,openponk,H
17,OPNullSerializerTest,3,50,0,?,1,1,0,1,0,0:00:03,openponk,H
18,PMBinomialGeneratorTest,3,83.33,1,?,10,11,10,11,10,0:04:57,PolyMath,H
19,PMBernoulliGeneratorTest,4,76.47,3,?,13,16,23,13,0,0:00:19,PolyMath,H
20,TLExpandCollapseNodesActionTest,3,66.67,2,?,14,16,14,16,14.29,0:01:02,Telescope,H
21,TLHideActionTest,3,55.56,2,?,5,8,60,5,0,0:00:30,Telescope,H
22,DSUserTest,14,56.52,2,?,13,17,31,15,15.38,2:25:40,DiscordSt,H
23,DSDetectChannelCommandTest,5,50,1,?,3,3,0,4,33.33,0:12:34,DiscordSt,H
24,PhLAboutCommandTest,1,75,1,?,3,4,33,3,0,0:00:54,pharo-launcher,H
25,PhLCopyImageCommandTest,1,66.67,0,?,4,4,0,4,0,0:24:17,pharo-launcher,H
26,WAKeyGeneratorTest,1,66.67,0,?,2,2,0,2,0,0:00:10,Seaside,H
27,WACookieTest,16,51.52,5,?,34,41,21,35,2.94,0:02:01,Seaside,H
28,BlLayoutExactResizerTest,8,40.54,3,?,15,15,0,20,33.33,0:04:45,Bloc,L
29,BlShortcutTest,1,20,1,?,2,2,0,3,50,0:00:21,Bloc,L
30,BlInsetsTest,10,44.14,26,?,64,118,84,91,42.19,0:21:57,Bloc,L
31,BlCompulsoryCombinationTest,4,11.76,2,?,4,7,75,4,0,0:03:02,Bloc,L
32,ZnStatusLineTest,7,28.57,1,?,16,20,25,16,0,0:00:39,zinc,L
33,ZnBivalentWriteStreamTest,2,44.44,0,?,8,8,0,8,0,0:00:03,zinc,L
34,GQLArgumentsTest,16,47.06,0,?,8,8,0,8,0,3:33:18,GraphQL,L
35,PP2ParsingGuardTest,3,47.06,1,?,8,10,25,9,12.5,0:00:08,petitparser2,L
36,PP2BenchmarkTest,3,15.91,1,?,7,13,86,8,14.29,0:15:50,petitparser2,L
37,MDLNestedListTest,11,44.78,1,?,60,75,25,61,1.67,0:02:20,MaterialDesignLite,L
38,MDLDialogTest,4,14.29,0,?,1,1,0,1,0,0:00:04,MaterialDesignLite,L
39,RSDraggableCanvasTest,6,35.71,0,?,10,10,0,10,0,3:51:21,Roassal3,L
40,RSAthensRendererTest,1,10.08,1,?,49,50,2,50,2.04,0:17:36,Roassal3,L
41,OPProjectTest,2,28,5,?,7,16,129,11,57.14,0:15:23,openponk,L
42,OPNavigatorAdaptersTest,3,32,0,?,8,9,12,8,0,0:00:55,openponk,L
43,PMFixpointTest,6,39.47,7,?,30,44,47,37,23.33,0:19:01,PolyMath,L
44,PMExponentialDistributionTest,1,17.07,5,?,7,12,71,7,0,0:00:59,PolyMath,L
45,TLDistributionMapTest,1,37.04,2,?,10,13,30,12,20,0:00:26,Telescope,L
46,TLLegendTest,2,0,0,?,0,0,-,0,-,0:00:02,Telescope,L
47,DSEmbedTest,11,27.87,8,?,17,36,112,31,82.35,0:26:08,DiscordSt,L
48,DSSendUserTextMessageItemTest,5,33.33,2,?,4,7,75,6,50,0:05:27,DiscordSt,L
49,PhLDirectoryBasedImageRepositoryTest,14,39.8,3,?,39,45,15,41,5.13,0:22:07,pharo-launcher,L
50,PhLLocalTemplateTest,11,12,1,?,3,5,67,4,33.33,0:08:45,pharo-launcher,L
51,WAXmlCanvasTest,1,33.33,0,?,1,1,0,1,0,0:00:01,Seaside,L
52,WAErrorHandlerTest,11,38.46,0,?,5,5,0,5,0,0:01:13,Seaside,L
